articleCode,articleName,VendorKey,VendorName,categoryInit,categoryName,TypeInit,TypeName,startDate,expireDate,colourInit,colourName,sex,picture,basePrice,salePrice,notes
AGA-PI0011,TROPICAL LIFE - BLACK,AGA,CERULEFAN,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0012,VAE - RED,AGA,CERULEFAN,3,HAT,2,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,34,RED,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0013,NASTON - BLACK,AGA,CERULEFAN,6,POLO SHIRT,1,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0014,NASTON - GREEN,AGA,CERULEFAN,6,POLO SHIRT,1,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,19,GREEN,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0015,NASTON - NAVY BLUE,AGA,CERULEFAN,6,POLO SHIRT,1,GENERAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,105000,150000,MASTERING OCTOBER 2016
AGA-PI0016,STEGON - MISTY GREY,AGA,CERULEFAN,7,SANDALS,2,SANDALS,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,139300,199000,MASTERING OCTOBER 2016
AGA-PI0017,STEGON - NAVY BLUE,AGA,CERULEFAN,7,SANDALS,2,SANDALS,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,139300,199000,MASTERING OCTOBER 2016
AGA-PI0018,ALE - MAROON,AGA,CERULEFAN,8,SHIRT,2,LONG SHIRT,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,24,MAROON,M,-,140000,200000,MASTERING OCTOBER 2016
AGA-PI0019,NUT - RED,AGA,CERULEFAN,8,SHIRT,2,LONG SHIRT,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,34,RED,M,-,140000,200000,MASTERING OCTOBER 2016
AGA-PI0020,RUF - BLUE,AGA,CERULEFAN,8,SHIRT,2,LONG SHIRT,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,4,BLUE,M,-,140000,200000,MASTERING OCTOBER 2016
AGA-PI0021,VIRVAL - BLACK,AGA,CERULEFAN,10,SWEATER,3,HOODIE,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,182000,260000,MASTERING OCTOBER 2016
AGA-PI0022,VIRVAL - MISTY GREY,AGA,CERULEFAN,10,SWEATER,3,HOODIE,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,26,MISTY GREY,M,-,182000,260000,MASTERING OCTOBER 2016
AGA-PI0023,1987 - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0024,2K16 - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0025,2K16 - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0026,ABENTEUR - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0027,ALPHA - NAVY BLUE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,28,NAVY BLUE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0028,ARROWAREN - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0029,ARROWAREN - WHITE,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,37,WHITE,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0030,AS BEAR - BLACK,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,1,BLACK,M,-,94500,135000,MASTERING OCTOBER 2016
AGA-PI0031,AS FLAG - DARK GREEN,AGA,CERULEFAN,11,T-SHIRT,1,CASUAL,2016-10-01 00:00:00.000,2017-01-31 00:00:00.000,13,DARK GREEN,M,-,94500,135000,MASTERING OCTOBER 2016
