articleCode,barcode,sizes,CurrentBasePrice,CurrentSalePrice,consignment,consignmentRp,qty,status
ESH.AR-QD0012,00ARQD0135,L,94500,135000,0,40500,0,0
ESH.AR-QD0012,00ARQD0136,XL,94500,135000,0,40500,0,0
ESH.AR-QD0013,00ARQD0137,S,94500,135000,0,40500,0,0
ESH.AR-QD0013,00ARQD0138,M,94500,135000,0,40500,0,0
ESH.AR-QD0013,00ARQD0139,L,94500,135000,0,40500,0,0
ESH.AR-QD0013,00ARQD0140,XL,94500,135000,0,40500,0,0
ESH.AR-QD0014,00ARQD0141,S,94500,135000,0,40500,0,0
ESH.AR-QD0014,00ARQD0142,M,94500,135000,0,40500,0,0
ESH.AR-QD0014,00ARQD0143,L,94500,135000,0,40500,0,0
ESH.AR-QD0014,00ARQD0144,XL,94500,135000,0,40500,0,0
ESH.AR-QD0015,00ARQD0145,S,220500,315000,0,94500,0,0
ESH.AR-QD0015,00ARQD0146,M,220500,315000,0,94500,0,0
ESH.AR-QD0015,00ARQD0147,L,220500,315000,0,94500,0,0
ESH.AR-QD0015,00ARQD0148,XL,220500,315000,0,94500,0,0
ESH.AR-QD0016,00ARQD0149,S,227500,325000,0,97500,0,0
ESH.AR-QD0016,00ARQD0150,M,227500,325000,0,97500,0,0
ESH.AR-QD0016,00ARQD0151,L,227500,325000,0,97500,0,0
ESH.AR-QD0016,00ARQD0152,XL,227500,325000,0,97500,0,0
ESH.AR-QD0017,00ARQD0153,S,94500,135000,0,40500,0,0
ESH.AR-QD0017,00ARQD0154,M,94500,135000,0,40500,0,0
ESH.AR-QD0017,00ARQD0155,L,94500,135000,0,40500,0,0
ESH.AR-QD0017,00ARQD0156,XL,94500,135000,0,40500,0,0
ESH.AR-QD0018,00ARQD0157,S,94500,135000,0,40500,0,0
ESH.AR-QD0018,00ARQD0158,M,94500,135000,0,40500,0,0
ESH.AR-QD0018,00ARQD0159,L,94500,135000,0,40500,0,0
ESH.AR-QD0018,00ARQD0160,XL,94500,135000,0,40500,0,0
ESH.AR-QD0019,00ARQD0161,S,94500,135000,0,40500,0,0
ESH.AR-QD0019,00ARQD0162,M,94500,135000,0,40500,0,0
ESH.AR-QD0019,00ARQD0163,L,94500,135000,0,40500,0,0
ESH.AR-QD0019,00ARQD0164,XL,94500,135000,0,40500,0,0
ESH.AR-QD0020,00ARQD0165,S,94500,135000,0,40500,0,0
ESH.AR-QD0020,00ARQD0166,M,94500,135000,0,40500,0,0
ESH.AR-QD0020,00ARQD0167,L,94500,135000,0,40500,0,0
ESH.AR-QD0020,00ARQD0168,XL,94500,135000,0,40500,0,0
ESH.AR-QD0021,00ARQD0169,S,94500,135000,0,40500,0,0
ESH.AR-QD0021,00ARQD0170,M,94500,135000,0,40500,0,0
ESH.AR-QD0021,00ARQD0171,L,94500,135000,0,40500,0,0
ESH.AR-QD0021,00ARQD0172,XL,94500,135000,0,40500,0,0
ESH.AR-QD0022,00ARQD0173,S,94500,135000,0,40500,0,0
ESH.AR-QD0022,00ARQD0174,M,94500,135000,0,40500,0,0
ESH.AR-QD0022,00ARQD0175,L,94500,135000,0,40500,0,0
ESH.AR-QD0022,00ARQD0176,XL,94500,135000,0,40500,0,0
ESH.AR-QD0023,00ARQD0177,S,105000,150000,0,45000,0,0
ESH.AR-QD0023,00ARQD0178,M,105000,150000,0,45000,0,0
ESH.AR-QD0023,00ARQD0179,L,105000,150000,0,45000,0,0
ESH.AR-QD0023,00ARQD0180,XL,105000,150000,0,45000,0,0
ESH.AR-QD0024,00ARQD0181,S,94500,135000,0,40500,0,0
ESH.AR-QD0024,00ARQD0182,M,94500,135000,0,40500,0,0
ESH.AR-QD0024,00ARQD0183,L,94500,135000,0,40500,0,0
ESH.AR-QD0024,00ARQD0184,XL,94500,135000,0,40500,0,0
ESH.AR-QD0025,00ARQD0185,S,94500,135000,0,40500,0,0
ESH.AR-QD0025,00ARQD0186,M,94500,135000,0,40500,0,0
ESH.AR-QD0025,00ARQD0187,L,94500,135000,0,40500,0,0
ESH.AR-QD0025,00ARQD0188,XL,94500,135000,0,40500,0,0
ESH.AR-QD0026,00ARQD0213,S,164500,235000,0,70500,0,0
