noTrans,ArticleCode,Barcode,sizes,qty,basePrice,salePrice,DiscountType,discountPersen,discountRupiah,DiscExpenses,consignment,consignmentRp,subTotal,payment
01SCS19E280407,BSC.AR-SE0039,00ARSE0355,M,1,52000,155000,0,0,0,0,0,31000,155000,124000
01SCS19E280408,AR.ESB-SE007,20ARSE0263,M,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E280408,AR.PUB-SE021,20ARSE0080,M,1,159250,245000,2,0,49000,1,0,49000,196000,147000
01SCS19E280409,AR.ESB-SE006,20ARSE0260,L,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E280410,AR.CPT-SE006,20ARSE0372,S,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280410,AR.GTW-SC001,20ARSC0021,S,1,214500,330000,2,0,99000,1,0,57750,231000,173250
01SCS19E280411,AR.PUB-SB024,20ARSB0130,L,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E280412,AR.PUB-SB040,20ARSB0525,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280413,BE.RAK-RX624,00BERX2666,M,1,110500,170000,2,0,34000,1,0,34000,136000,102000
01SCS19E280414,AR.HLW-SE004,20ARSE0532,M,1,100750,155000,2,0,31000,1,0,31000,124000,93000
01SCS19E280415,AR.CPT-RI006,20ARRI0062,L,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E280415,AR.ESB-SE007,20ARSE0264,L,1,94250,145000,2,0,29000,1,0,29000,116000,87000
01SCS19E280416,ESH.AR-SD0018,00ARSD0139,XL,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E280417,THR.AR-RG0006,00ARRG0052,L,1,415000,415000,0,0,0,0,0,62250,415000,352750
01SCS19E280418,AR.TUC-SA024,20ARSA0152,L,1,87750,135000,2,0,27000,1,0,27000,108000,81000
01SCS19E280419,ESH.AR-SD0019,00ARSD0141,M,1,125000,315000,0,0,0,0,0,63000,315000,252000
01SCS19E280420,AR.TUC-SB012,20ARSB0198,XL,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280421,ESH.AR-SC0017,00ARSC0142,L,1,44000,135000,0,0,0,0,0,27000,135000,108000
01SCS19E280422,AR.PUB-SE032,20ARSE0326,M,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280423,BSC.AR-SD0002,00ARSD0007,L,1,44000,159000,0,0,0,0,0,31800,159000,127200
01SCS19E280424,AR.ESB-SD006,20ARSD0118,L,1,204750,315000,2,0,63000,1,0,63000,252000,189000
01SCS19E280425,AR.ESB-SE021,20ARSE0800,ALL,1,87750,135000,2,0,27000,1,0,27000,108000,81000
01SCS19E280426,AR.PUB-SD015,20ARSD0126,M,1,97500,150000,2,0,30000,1,0,30000,120000,90000
01SCS19E280426,BSC.AR-SE0040,00ARSE0359,M,1,44500,159000,0,0,0,0,0,31800,159000,127200
01SCS19E290001,AR.PUB-SC017,20ARSC0370,L,1,204750,315000,2,0,63000,1,0,63000,252000,189000
